Date,Close,High,Low,Open,Volume
2018-01-02,40.2670783996582,40.27643070005527,39.565805677893536,39.776189634537445,102223600
2018-01-03,40.260066986083984,40.80238628352514,40.19695500765061,40.33019497342311,118071600
2018-01-04,40.44707107543945,40.54992497445396,40.22500210267125,40.3325285848356,89738400
2018-01-05,40.907562255859375,40.99405138894915,40.451735846951074,40.54290112873273,94640000
2018-01-08,40.7556266784668,41.050159881448366,40.65744537728277,40.7556266784668,82271200
2018-01-09,40.75094223022461,40.92158419321893,40.5358857749913,40.80236916156911,86336000
2018-01-10,40.74159622192383,40.743936079890894,40.440050593275295,40.477452652181725,95839600
2018-01-11,40.9730224609375,41.02211311511454,40.7883555686387,40.81172918317203,74670800
2018-01-12,41.3961296081543,41.459245154422774,41.0595181171993,41.18340935111223,101672400
2018-01-16,41.18574523925781,41.933768721013166,41.17405664783749,41.585468671088606,118263600
2018-01-17,41.86597442626953,41.90103662850465,40.923931879747094,41.17638686955348,137547200
2018-01-18,41.90339279174805,42.09975191795537,41.66729886206849,41.929106274533616,124773600
2018-01-19,41.716365814208984,41.97817307780297,41.4709197211614,41.75142801313444,129700400
2018-01-22,41.375091552734375,41.55742217931307,41.28158994771982,41.44521953992409,108434400
2018-01-23,41.38444137573242,41.9454617211586,41.33301798842127,41.44522063076343,130756400
2018-01-24,40.725242614746094,41.44521633156787,40.48680890350173,41.433527740131495,204420400
2018-01-25,39.99826431274414,40.89589266839285,39.862684472538135,40.793038750522214,166116000
2018-01-26,40.09177017211914,40.20631269584493,39.75282231915957,40.20631269584493,156572000
2018-01-29,39.26191329956055,39.77617911278078,39.05386925647732,39.77617911278078,202561600
2018-01-30,39.03049850463867,39.124000098125286,38.499867866116375,38.693887061115404,184192800
2018-01-31,39.13801956176758,39.37411693794769,38.92062678192371,39.00711592226718,129915600
2018-02-01,39.21983337402344,39.41618881952679,38.981399723422854,39.07724115522439,188923200
2018-02-02,37.51808166503906,38.990754742832486,37.42458008451683,38.803748014931365,346375200
2018-02-05,36.58073806762695,38.30820705927742,36.46619552837248,37.19084571241062,290954000
